‾	overstrek
🙆🏽‍♀	greit, hudtype 4, kvinne, kvinne som gestikulerer OK, kvinne som gestikulerer OK: hudtype 4, ok
🙆🏾‍♀	greit, hudtype 5, kvinne, kvinne som gestikulerer OK, kvinne som gestikulerer OK: hudtype 5, ok
🙆🏿‍♀	greit, hudtype 6, kvinne, kvinne som gestikulerer OK, kvinne som gestikulerer OK: hudtype 6, ok
💁	hjelp, hjelpende, hjelpende person, hånd, informasjon, menneske, person, sarkasme, sarkastisk, seriøst, sladder
💁🏻	hjelp, hjelpende, hjelpende person: hudtype 1–2, hudtype 1–2, hånd, informasjon, menneske, person, sarkasme, sarkastisk, seriøst, sladder
💁🏼	hjelp, hjelpende, hjelpende person: hudtype 3, hudtype 3, hånd, informasjon, menneske, person, sarkasme, sarkastisk, seriøst, sladder
💁🏽	hjelp, hjelpende, hjelpende person: hudtype 4, hudtype 4, hånd, informasjon, menneske, person, sarkasme, sarkastisk, seriøst, sladder
💁🏾	hjelp, hjelpende, hjelpende person: hudtype 5, hudtype 5, hånd, informasjon, menneske, person, sarkasme, sarkastisk, seriøst, sladder
💁🏿	hjelp, hjelpende, hjelpende person: hudtype 6, hudtype 6, hånd, informasjon, menneske, person, sarkasme, sarkastisk, seriøst, sladder
💁‍♂	hjelpe, hjelpende mann, informasjon, mann
💁🏻‍♂	hjelpe, hjelpende mann, hjelpende mann: hudtype 1–2, hudtype 1–2, informasjon, mann
💁🏼‍♂	hjelpe, hjelpende mann, hjelpende mann: hudtype 3, hudtype 3, informasjon, mann
💁🏽‍♂	hjelpe, hjelpende mann, hjelpende mann: hudtype 4, hudtype 4, informasjon, mann
💁🏾‍♂	hjelpe, hjelpende mann, hjelpende mann: hudtype 5, hudtype 5, informasjon, mann
💁🏿‍♂	hjelpe, hjelpende mann, hjelpende mann: hudtype 6, hudtype 6, informasjon, mann
💁‍♀	hjelpe, hjelpende kvinne, informasjon, kvinne
💁🏻‍♀	hjelpe, hjelpende kvinne, hjelpende kvinne: hudtype 1–2, hudtype 1–2, informasjon, kvinne
💁🏼‍♀	hjelpe, hjelpende kvinne, hjelpende kvinne: hudtype 3, hudtype 3, informasjon, kvinne
💁🏽‍♀	hjelpe, hjelpende kvinne, hjelpende kvinne: hudtype 4, hudtype 4, informasjon, kvinne
💁🏾‍♀	hjelpe, hjelpende kvinne, hjelpende kvinne: hudtype 5, hudtype 5, informasjon, kvinne
💁🏿‍♀	hjelpe, hjelpende kvinne, hjelpende kvinne: hudtype 6, hudtype 6, informasjon, kvinne
🙋	hand, her, hånd, jeg, meg, opp, person, rekke opp, rekker opp hånden, spørsmål, svaret, vet
🙋🏻	hand, her, hudtype 1–2, hånd, jeg, meg, opp, person, rekke opp, rekker opp hånden: hudtype 1–2, spørsmål, svaret, vet
🙋🏼	hand, her, hudtype 3, hånd, jeg, meg, opp, person, rekke opp, rekker opp hånden: hudtype 3, spørsmål, svaret, vet
🙋🏽	hand, her, hudtype 4, hånd, jeg, meg, opp, person, rekke opp, rekker opp hånden: hudtype 4, spørsmål, svaret, vet
🙋🏾	hand, her, hudtype 5, hånd, jeg, meg, opp, person, rekke opp, rekker opp hånden: hudtype 5, spørsmål, svaret, vet
🙋🏿	hand, her, hudtype 6, hånd, jeg, meg, opp, person, rekke opp, rekker opp hånden: hudtype 6, spørsmål, svaret, vet
🙋‍♂	mann, mann som rekker opp hånden, rekke opp hånden
🙋🏻‍♂	hudtype 1–2, mann, mann som rekker opp hånden, mann som rekker opp hånden: hudtype 1–2, rekke opp hånden
🙋🏼‍♂	hudtype 3, mann, mann som rekker opp hånden, mann som rekker opp hånden: hudtype 3, rekke opp hånden
🙋🏽‍♂	hudtype 4, mann, mann som rekker opp hånden, mann som rekker opp hånden: hudtype 4, rekke opp hånden
🙋🏾‍♂	hudtype 5, mann, mann som rekker opp hånden, mann som rekker opp hånden: hudtype 5, rekke opp hånden
🙋🏿‍♂	hudtype 6, mann, mann som rekker opp hånden, mann som rekker opp hånden: hudtype 6, rekke opp hånden
🙋‍♀	kvinne, kvinne som rekker opp hånden, rekke opp hånden
🙋🏻‍♀	hudtype 1–2, kvinne, kvinne som rekker opp hånden, kvinne som rekker opp hånden: hudtype 1–2, rekke opp hånden
🙋🏼‍♀	hudtype 3, kvinne, kvinne som rekker opp hånden, kvinne som rekker opp hånden: hudtype 3, rekke opp hånden
🙋🏽‍♀	hudtype 4, kvinne, kvinne som rekker opp hånden, kvinne som rekker opp hånden: hudtype 4, rekke opp hånden
🙋🏾‍♀	hudtype 5, kvinne, kvinne som rekker opp hånden, kvinne som rekker opp hånden: hudtype 5, rekke opp hånden
🙋🏿‍♀	hudtype 6, kvinne, kvinne som rekker opp hånden, kvinne som rekker opp hånden: hudtype 6, rekke opp hånden
🧏	døv, døv person, høre, tilgjengelighet, øre
🧏🏻	døv, døv person, døv person: hudtype 1–2, hudtype 1–2, høre, tilgjengelighet, øre
🧏🏼	døv, døv person, døv person: hudtype 3, hudtype 3, høre, tilgjengelighet, øre
🧏🏽	døv, døv person, døv person: hudtype 4, hudtype 4, høre, tilgjengelighet, øre
🧏🏾	døv, døv person, døv person: hudtype 5, hudtype 5, høre, tilgjengelighet, øre
🧏🏿	døv, døv person, døv person: hudtype 6, hudtype 6, høre, tilgjengelighet, øre
🧏‍♂	døv, døv mann, mann
🧏🏻‍♂	døv, døv mann: hudtype 1–2, hudtype 1–2, mann
🧏🏼‍♂	døv, døv mann: hudtype 3, hudtype 3, mann
🧏🏽‍♂	døv, døv mann: hudtype 4, hudtype 4, mann
🧏🏾‍♂	døv, døv mann: hudtype 5, hudtype 5, mann
🧏🏿‍♂	døv, døv mann: hudtype 6, hudtype 6, mann
🧏‍♀	døv, døv kvinne, kvinne
🧏🏻‍♀	døv, døv kvinne: hudtype 1–2, hudtype 1–2, kvinne
🧏🏼‍♀	døv, døv kvinne: hudtype 3, hudtype 3, kvinne
🧏🏽‍♀	døv, døv kvinne: hudtype 4, hudtype 4, kvinne
🧏🏾‍♀	døv, døv kvinne: hudtype 5, hudtype 5, kvinne
🧏🏿‍♀	døv, døv kvinne: hudtype 6, hudtype 6, kvinne
🙇	angrer, beklager, bukke, bukker, meditasjon, meditere, person, sorry, synd, tilgi, unnskyld
🙇🏻	angrer, beklager, bukke, bukker: hudtype 1–2, hudtype 1–2, meditasjon, meditere, person, sorry, synd, tilgi, unnskyld
🙇🏼	angrer, beklager, bukke, bukker: hudtype 3, hudtype 3, meditasjon, meditere, person, sorry, synd, tilgi, unnskyld
🙇🏽	angrer, beklager, bukke, bukker: hudtype 4, hudtype 4, meditasjon, meditere, person, sorry, synd, tilgi, unnskyld
🙇🏾	angrer, beklager, bukke, bukker: hudtype 5, hudtype 5, meditasjon, meditere, person, sorry, synd, tilgi, unnskyld
🙇🏿	angrer, beklager, bukke, bukker: hudtype 6, hudtype 6, meditasjon, meditere, person, sorry, synd, tilgi, unnskyld
🙇‍♂	beklagelse, bukk, bukkende mann, mann, unnskyld
🙇🏻‍♂	beklagelse, bukk, bukkende mann, bukkende mann: hudtype 1–2, hudtype 1–2, mann, unnskyld
🙇🏼‍♂	beklagelse, bukk, bukkende mann, bukkende mann: hudtype 3, hudtype 3, mann, unnskyld
🙇🏽‍♂	beklagelse, bukk, bukkende mann, bukkende mann: hudtype 4, hudtype 4, mann, unnskyld
🙇🏾‍♂	beklagelse, bukk, bukkende mann, bukkende mann: hudtype 5, hudtype 5, mann, unnskyld
🙇🏿‍♂	beklagelse, bukk, bukkende mann, bukkende mann: hudtype 6, hudtype 6, mann, unnskyld
🙇‍♀	beklagelse, bukk, bukkende kvinne, kvinne, unnskyld
🙇🏻‍♀	beklagelse, bukk, bukkende kvinne, bukkende kvinne: hudtype 1–2, hudtype 1–2, kvinne, unnskyld
🙇🏼‍♀	beklagelse, bukk, bukkende kvinne, bukkende kvinne: hudtype 3, hudtype 3, kvinne, unnskyld
🙇🏽‍♀	beklagelse, bukk, bukkende kvinne, bukkende kvinne: hudtype 4, hudtype 4, kvinne, unnskyld
🙇🏾‍♀	beklagelse, bukk, bukkende kvinne, bukkende kvinne: hudtype 5, hudtype 5, kvinne, unnskyld
🙇🏿‍♀	beklagelse, bukk, bukkende kvinne, bukkende kvinne: hudtype 6, hudtype 6, kvinne, unnskyld
🤦	ansikt, facepalm, fjes, hånd, ikke igjen, irritasjon, omg, oppgitt, person, sjokk, slår hånden mot pannen, vantro, å nei
🤦🏻	ansikt, facepalm, fjes, hudtype 1–2, hånd, ikke igjen, irritasjon, omg, oppgitt, person, sjokk, slår hånden mot pannen, slår hånden mot pannen: hudtype 1–2, vantro, å nei
🤦🏼	ansikt, facepalm, fjes, hudtype 3, hånd, ikke igjen, irritasjon, omg, oppgitt, person, sjokk, slår hånden mot pannen, slår hånden mot pannen: hudtype 3, vantro, å nei
🤦🏽	ansikt, facepalm, fjes, hudtype 4, hånd, ikke igjen, irritasjon, omg, oppgitt, person, sjokk, slår hånden mot pannen, slår hånden mot pannen: hudtype 4, vantro, å nei
🤦🏾	ansikt, facepalm, fjes, hudtype 5, hånd, ikke igjen, irritasjon, omg, oppgitt, person, sjokk, slår hånden mot pannen, slår hånden mot pannen: hudtype 5, vantro, å nei
🤦🏿	ansikt, facepalm, fjes, hudtype 6, hånd, ikke igjen, irritasjon, omg, oppgitt, person, sjokk, slår hånden mot pannen, slår hånden mot pannen: hudtype 6, vantro, å nei
🤦‍♂	ansikt, facepalm, fjes, hånd, ikke igjen, irritasjon, mann, mann som slår hånden mot pannen, omg, oppgitt, person, sjokk, vantro, å nei
🤦🏻‍♂	ansikt, facepalm, fjes, hudtype 1–2, hånd, ikke igjen, irritasjon, mann, mann som slår hånden mot pannen, mann som slår hånden mot pannen: hudtype 1–2, omg, oppgitt, person, sjokk, vantro, å nei
🤦🏼‍♂	ansikt, facepalm, fjes, hudtype 3, hånd, ikke igjen, irritasjon, mann, mann som slår hånden mot pannen, mann som slår hånden mot pannen: hudtype 3, omg, oppgitt, person, sjokk, vantro, å nei
🤦🏽‍♂	ansikt, facepalm, fjes, hudtype 4, hånd, ikke igjen, irritasjon, mann, mann som slår hånden mot pannen, mann som slår hånden mot pannen: hudtype 4, omg, oppgitt, person, sjokk, vantro, å nei
🤦🏾‍♂	ansikt, facepalm, fjes, hudtype 5, hånd, ikke igjen, irritasjon, mann, mann som slår hånden mot pannen, mann som slår hånden mot pannen: hudtype 5, omg, oppgitt, person, sjokk, vantro, å nei
🤦🏿‍♂	ansikt, facepalm, fjes, hudtype 6, hånd, ikke igjen, irritasjon, mann, mann som slår hånden mot pannen, mann som slår hånden mot pannen: hudtype 6, omg, oppgitt, person, sjokk, vantro, å nei
🤦‍♀	ansikt, facepalm, fjes, hånd, ikke igjen, irritasjon, kvinne, kvinne som slår hånden mot pannen, omg, oppgitt, person, sjokk, vantro, å nei
🤦🏻‍♀	ansikt, facepalm, fjes, hudtype 1–2, hånd, ikke igjen, irritasjon, kvinne, kvinne som slår hånden mot pannen, kvinne som slår hånden mot pannen: hudtype 1–2, omg, oppgitt, person, sjokk, vantro, å nei
🤦🏼‍♀	ansikt, facepalm, fjes, hudtype 3, hånd, ikke igjen, irritasjon, kvinne, kvinne som slår hånden mot pannen, kvinne som slår hånden mot pannen: hudtype 3, omg, oppgitt, person, sjokk, vantro, å nei
🤦🏽‍♀	ansikt, facepalm, fjes, hudtype 4, hånd, ikke igjen, irritasjon, kvinne, kvinne som slår hånden mot pannen, kvinne som slår hånden mot pannen: hudtype 4, omg, oppgitt, person, sjokk, vantro, å nei
🤦🏾‍♀	ansikt, facepalm, fjes, hudtype 5, hånd, ikke igjen, irritasjon, kvinne, kvinne som slår hånden mot pannen, kvinne som slår hånden mot pannen: hudtype 5, omg, oppgitt, person, sjokk, vantro, å nei
🤦🏿‍♀	ansikt, facepalm, fjes, hudtype 6, hånd, ikke igjen, irritasjon, kvinne, kvinne som slår hånden mot pannen, kvinne som slår hånden mot pannen: hudtype 6, omg, oppgitt, person, sjokk, vantro, å nei
🤷	hand, hånd, idk, kanskje, likegyldighet, person, skuldertrekning, trekker på skuldrene, tvil, vet ikke
🤷🏻	hand, hudtype 1–2, hånd, idk, kanskje, likegyldighet, person, skuldertrekning, trekker på skuldrene, trekker på skuldrene: hudtype 1–2, tvil, vet ikke
🤷🏼	hand, hudtype 3, hånd, idk, kanskje, likegyldighet, person, skuldertrekning, trekker på skuldrene, trekker på skuldrene: hudtype 3, tvil, vet ikke
🤷🏽	hand, hudtype 4, hånd, idk, kanskje, likegyldighet, person, skuldertrekning, trekker på skuldrene, trekker på skuldrene: hudtype 4, tvil, vet ikke
🤷🏾	hand, hudtype 5, hånd, idk, kanskje, likegyldighet, person, skuldertrekning, trekker på skuldrene, trekker på skuldrene: hudtype 5, tvil, vet ikke
🤷🏿	hand, hudtype 6, hånd, idk, kanskje, likegyldighet, person, skuldertrekning, trekker på skuldrene, trekker på skuldrene: hudtype 6, tvil, vet ikke
🤷‍♂	hand, hånd, kanskje, likegyldighet, mann, mann som trekker på skuldrene, person, skuldertrekning, tvil, vet ikke
🤷🏻‍♂	hand, hudtype 1–2, hånd, kanskje, likegyldighet, mann, mann som trekker på skuldrene, mann som trekker på skuldrene: hudtype 1–2, person, skuldertrekning, tvil, vet ikke
🤷🏼‍♂	hand, hudtype 3, hånd, kanskje, likegyldighet, mann, mann som trekker på skuldrene, mann som trekker på skuldrene: hudtype 3, person, skuldertrekning, tvil, vet ikke
🤷🏽‍♂	hand, hudtype 4, hånd, kanskje, likegyldighet, mann, mann som trekker på skuldrene, mann som trekker på skuldrene: hudtype 4, person, skuldertrekning, tvil, vet ikke
🤷🏾‍♂	hand, hudtype 5, hånd, kanskje, likegyldighet, mann, mann som trekker på skuldrene, mann som trekker på skuldrene: hudtype 5, person, skuldertrekning, tvil, vet ikke
🤷🏿‍♂	hand, hudtype 6, hånd, kanskje, likegyldighet, mann, mann som trekker på skuldrene, mann som trekker på skuldrene: hudtype 6, person, skuldertrekning, tvil, vet ikke
🤷‍♀	hand, hånd, kanskje, kvinne, kvinne som trekker på skuldrene, likegyldighet, person, skuldertrekning, tvil, vet ikke
🤷🏻‍♀	hand, hudtype 1–2, hånd, kanskje, kvinne, kvinne som trekker på skuldrene, kvinne som trekker på skuldrene: hudtype 1–2, likegyldighet, person, skuldertrekning, tvil, vet ikke
🤷🏼‍♀	hand, hudtype 3, hånd, kanskje, kvinne, kvinne som trekker på skuldrene, kvinne som trekker på skuldrene: hudtype 3, likegyldighet, person, skuldertrekning, tvil, vet ikke
🤷🏽‍♀	hand, hudtype 4, hånd, kanskje, kvinne, kvinne som trekker på skuldrene, kvinne som trekker på skuldrene: hudtype 4, likegyldighet, person, skuldertrekning, tvil, vet ikke
🤷🏾‍♀	hand, hudtype 5, hånd, kanskje, kvinne, kvinne som trekker på skuldrene, kvinne som trekker på skuldrene: hudtype 5, likegyldighet, person, skuldertrekning, tvil, vet ikke
🤷🏿‍♀	hand, hudtype 6, hånd, kanskje, kvinne, kvinne som trekker på skuldrene, kvinne som trekker på skuldrene: hudtype 6, likegyldighet, person, skuldertrekning, tvil, vet ikke
🧑‍⚕	doktor, helsearbeider, helsevesen, lege, sykepleier, terapeut
🧑🏻‍⚕	doktor, helsearbeider, helsearbeider: hudtype 1–2, helsevesen, hudtype 1–2, lege, sykepleier, terapeut
🧑🏼‍⚕	doktor, helsearbeider, helsearbeider: hudtype 3, helsevesen, hudtype 3, lege, sykepleier, terapeut
🧑🏽‍⚕	doktor, helsearbeider, helsearbeider: hudtype 4, helsevesen, hudtype 4, lege, sykepleier, terapeut
🧑🏾‍⚕	doktor, helsearbeider, helsearbeider: hudtype 5, helsevesen, hudtype 5, lege, sykepleier, terapeut
🧑🏿‍⚕	doktor, helsearbeider, helsearbeider: hudtype 6, helsevesen, hudtype 6, lege, sykepleier, terapeut
👨‍⚕	doktor, helsevesen, lege, mann, mannlig helsearbeider, sykepleier, terapeut
👨🏻‍⚕	doktor, helsevesen, hudtype 1–2, lege, mann, mannlig helsearbeider, mannlig helsearbeider: hudtype 1–2, sykepleier, terapeut
👨🏼‍⚕	doktor, helsevesen, hudtype 3, lege, mann, mannlig helsearbeider, mannlig helsearbeider: hudtype 3, sykepleier, terapeut
👨🏽‍⚕	doktor, helsevesen, hudtype 4, lege, mann, mannlig helsearbeider, mannlig helsearbeider: hudtype 4, sykepleier, terapeut
👨🏾‍⚕	doktor, helsevesen, hudtype 5, lege, mann, mannlig helsearbeider, mannlig helsearbeider: hudtype 5, sykepleier, terapeut
👨🏿‍⚕	doktor, helsevesen, hudtype 6, lege, mann, mannlig helsearbeider, mannlig helsearbeider: hudtype 6, sykepleier, terapeut
👩‍⚕	doktor, helsevesen, kvinne, kvinnelig helsearbeider, lege, sykepleier, terapeut
👩🏻‍⚕	doktor, helsevesen, hudtype 1–2, kvinne, kvinnelig helsearbeider, kvinnelig helsearbeider: hudtype 1–2, lege, sykepleier, terapeut
👩🏼‍⚕	doktor, helsevesen, hudtype 3, kvinne, kvinnelig helsearbeider, kvinnelig helsearbeider: hudtype 3, lege, sykepleier, terapeut
👩🏽‍⚕	doktor, helsevesen, hudtype 4, kvinne, kvinnelig helsearbeider, kvinnelig helsearbeider: hudtype 4, lege, sykepleier, terapeut
👩🏾‍⚕	doktor, helsevesen, hudtype 5, kvinne, kvinnelig helsearbeider, kvinnelig helsearbeider: hudtype 5, lege, sykepleier, terapeut
👩🏿‍⚕	doktor, helsevesen, hudtype 6, kvinne, kvinnelig helsearbeider, kvinnelig helsearbeider: hudtype 6, lege, sykepleier, terapeut
🧑‍🎓	skole, student, universitet
🧑🏻‍🎓	hudtype 1–2, skole, student, student: hudtype 1–2, universitet
🧑🏼‍🎓	hudtype 3, skole, student, student: hudtype 3, universitet
🧑🏽‍🎓	hudtype 4, skole, student, student: hudtype 4, universitet
🧑🏾‍🎓	hudtype 5, skole, student, student: hudtype 5, universitet
🧑🏿‍🎓	hudtype 6, skole, student, student: hudtype 6, universitet
👨‍🎓	mann, mannlig student, skole, student, universitet
👨🏻‍🎓	hudtype 1–2, mann, mannlig student, mannlig student: hudtype 1–2, skole, student, universitet
👨🏼‍🎓	hudtype 3, mann, mannlig student, mannlig student: hudtype 3, skole, student, universitet
👨🏽‍🎓	hudtype 4, mann, mannlig student, mannlig student: hudtype 4, skole, student, universitet
👨🏾‍🎓	hudtype 5, mann, mannlig student, mannlig student: hudtype 5, skole, student, universitet
👨🏿‍🎓	hudtype 6, mann, mannlig student, mannlig student: hudtype 6, skole, student, universitet
👩‍🎓	kvinne, kvinnelig student, skole, student, universitet
👩🏻‍🎓	hudtype 1–2, kvinne, kvinnelig student, kvinnelig student: hudtype 1–2, skole, student, universitet
👩🏼‍🎓	hudtype 3, kvinne, kvinnelig student, kvinnelig student: hudtype 3, skole, student, universitet
👩🏽‍🎓	hudtype 4, kvinne, kvinnelig student, kvinnelig student: hudtype 4, skole, student, universitet
👩🏾‍🎓	hudtype 5, kvinne, kvinnelig student, kvinnelig student: hudtype 5, skole, student, universitet
👩🏿‍🎓	hudtype 6, kvinne, kvinnelig student, kvinnelig student: hudtype 6, skole, student, universitet
🧑‍🏫	lærer, skole, undervisning
🧑🏻‍🏫	hudtype 1–2, lærer, lærer: hudtype 1–2, skole, undervisning
🧑🏼‍🏫	hudtype 3, lærer, lærer: hudtype 3, skole, undervisning
🧑🏽‍🏫	hudtype 4, lærer, lærer: hudtype 4, skole, undervisning
🧑🏾‍🏫	hudtype 5, lærer, lærer: hudtype 5, skole, undervisning
🧑🏿‍🏫	hudtype 6, lærer, lærer: hudtype 6, skole, undervisning
👨‍🏫	lærer, mann, mannlig lærer, skole, undervisning
👨🏻‍🏫	hudtype 1–2, lærer, mann, mannlig lærer, mannlig lærer: hudtype 1–2, skole, undervisning
👨🏼‍🏫	hudtype 3, lærer, mann, mannlig lærer, mannlig lærer: hudtype 3, skole, undervisning
👨🏽‍🏫	hudtype 4, lærer, mann, mannlig lærer, mannlig lærer: hudtype 4, skole, undervisning
👨🏾‍🏫	hudtype 5, lærer, mann, mannlig lærer, mannlig lærer: hudtype 5, skole, undervisning
👨🏿‍🏫	hudtype 6, lærer, mann, mannlig lærer, mannlig lærer: hudtype 6, skole, undervisning
👩‍🏫	kvinne, kvinnelig lærer, lærer, skole, undervisning
👩🏻‍🏫	hudtype 1–2, kvinne, kvinnelig lærer, kvinnelig lærer: hudtype 1–2, lærer, skole, undervisning
👩🏼‍🏫	hudtype 3, kvinne, kvinnelig lærer, kvinnelig lærer: hudtype 3, lærer, skole, undervisning
👩🏽‍🏫	hudtype 4, kvinne, kvinnelig lærer, kvinnelig lærer: hudtype 4, lærer, skole, undervisning
👩🏾‍🏫	hudtype 5, kvinne, kvinnelig lærer, kvinnelig lærer: hudtype 5, lærer, skole, undervisning
👩🏿‍🏫	hudtype 6, kvinne, kvinnelig lærer, kvinnelig lærer: hudtype 6, lærer, skole, undervisning
🧑‍⚖	dommer, jus, juss
🧑🏻‍⚖	dommer, dommer: hudtype 1–2, hudtype 1–2, jus, juss
🧑🏼‍⚖	dommer, dommer: hudtype 3, hudtype 3, jus, juss
🧑🏽‍⚖	dommer, dommer: hudtype 4, hudtype 4, jus, juss
🧑🏾‍⚖	dommer, dommer: hudtype 5, hudtype 5, jus, juss
🧑🏿‍⚖	dommer, dommer: hudtype 6, hudtype 6, jus, juss
👨‍⚖	dommer, jus, juss, mann, mannlig dommer, rettssak
👨🏻‍⚖	dommer, hudtype 1–2, jus, juss, mann, mannlig dommer, mannlig dommer: hudtype 1–2, rettssak
👨🏼‍⚖	dommer, hudtype 3, jus, juss, mann, mannlig dommer, mannlig dommer: hudtype 3, rettssak
👨🏽‍⚖	dommer, hudtype 4, jus, juss, mann, mannlig dommer, mannlig dommer: hudtype 4, rettssak
