‾	ۇستىڭگى سىزىق
🎀	تاسپا, تويلاۋ, لەنتا
🎁	تويلاۋ, جاشىك, سىيلىق, قوراپ, ورالعان, ورالعان سىيلىق
🎗️	تاسپا, تويلاۋ, لەنتا, ەسكە سالعىش, ەسكە سالعىش تاسپاسى, ەسكە سالعىش لەنتاسى
🎟️	بيلەت, قابىلداۋ, قابىلداۋ بيلەتتەرى
🎫	بيلەت, قابىلداۋ
🎖️	اسكەري, اسكەري مەدال, تويلاۋ, مەدال
🏆️	جۇلدە, جەڭىس, كۋبوك, ولجا
🏅	جەڭىس, سپورتتىق مەدال, مەدال
🥇	1, 1-ورىن, ءبىرىنشى, التىن, التىن مەدال, مەدال, ورىن
🥈	2, 2-ورىن, كۇمىس, كۇمىس مەدال, مەدال, ورىن, ەكىنشى
🥉	3, 3-ورىن, ءۇشىنشى, قولا, قولا مەدال, مەدال, ورىن
⚽️	دوپ, سپورت, فۋتبول, فۋتبول دوبى
⚾️	بەيسبول, دوپ, سپورت
🥎	دوپ, سارى دوپ, سوفتبول, سپورت, قولتىق, قولعاپ
🏀	باسكەتبول, دوپ, ساقينا, سپورت
🏐	دوپ, سپورت, ويىن, ۆولەيبول
🏈	امەريكالىق, امەريكالىق فۋتبول, امەريكاندىق, دوپ, سپورت, فۋتبول
🏉	دوپ, رەگبي, سپورت, فۋتبول
🎾	تەننيس, دوپ, راكەتكا, سپورت
🥏	ديسك, فريسبي, ناقتى ناتيجە, ۇشاتىن ديسك
🎳	بوۋليڭ, سپورت, شار, كەگەل, ويىن
🏏	بەتسمەن, دوپ, سپورت, كريكەت, ويىن
🏑	ءشوپ ۇستىندەگى حوككەي, الاڭ, تاياق, حوككەي, دوپ, سپورت, ويىن
🏒	تاياق, حوككەي, سپورت, شايبا, مۇز, ويىن
🥍	تاياقشا, دوپ, سپورت, لاكروس, گول
🏓	جازىق, دوپ, راكەتكا, سپورت, ويىن, پيڭ-پوڭ, ۇستەل تەننيسى
🏸	بادمينتون, بەدي, جەلبىرشەك, راكەتكا, سپورت, ويىن
🥊	بوكس, بوكس قولعابى, سپورت, قولعاپ
🥋	تحەكۆوندو, جاۋىنگەرلىك ونەر, جاۋىنگەرلىك ونەر فورماسى, جاۋىنگەرلىك ونەر كيمونوسى, جيۋدو, سپورت, سپورتتىق كومونو, كاراتە, كيمونو
🥅	تور, حوككەي, سپورت, قاقپا, قاقپاشى
⛳️	جالاۋشا, ساڭىلاۋ, ساڭىلاۋداعى جالاۋشا, سپورت, گولىف
⛸️	سپورت, شاڭعى, كونكي, مۇز, مۇز شاڭعى
🎣	بالىق, بالىق اۋلاۋ, سپورت, قارماق
🤿	ءجۇزۋ, دايۆينگ, دايۆيڭگە ارنالعان ماسكا, سكۋبا, سنوركليڭ, سۇڭگۋ, ماسكا
🎽	تاسپا, جۇگىرۋ, جۇگىرۋگە ارنالعان جەيدەشە, جەيدەشە, سپورت, لەنتا
🎿	سپورت, شاڭعى, شاڭعى تەبۋ, شاڭعىدا ۇشۋ, قار
🛷	سپورت, شانا, ويىن
🥌	تاس, سپورت, كەرليڭ, كەرليڭ تاسى, ويىن
🎯	ءدال تيۋ, بۇقا كوز, تيۋ, دارت, دارتس, دارتس نايزاسى, مەرگەن, نىسانا, نىسانا ورتاسى, ويىن
🪀	تەربەلۋ, ويىنشىق, يو-يو
🪁	قاعاز باتپىراۋىق, قالىقتاۋ, ويىن, ۇشۋ
🔫	تاپانشا, رەۆولۆەر, قارۋ, قۇرال
🎱	8, 8 شارلى پۋل, بيلليارد, بيليارد, سەگىز, شار, ويىن, پۋل-8
🔮	بايلىق, بولاشاق, بولجاۋ, دوپ, سىيقىرلى شار, سيقىرلى شار, سيقىرلى ەرتەگى, شار, قيال, قۇرال
🪄	سيقىر, سيقىرشى, سيقىرلى, سيقىرلى تاياقشا
🎮️	باسقارۋ قۇرالى, بەينە ويىن, كونتروللەر, ويىن
🕹️	بەينە ويىن, جوستىك, ويىن
🎰	7, 777, اۆتومات, جەتى, كازينو, لوتەرەيا, ويىن, ويىن اۆتوماتى
🎲	كۋبيك, ويىن, ويىن تەكشەسى, ويىن كۋبيگى
🧩	ءوزارا ارەكەت, دانا, دجيگسو, شەشىم, كىلت, موزايكا, ويىن, پازىل
🧸	ايۋ, تولتىرىلعان, قونجىق, قىجىم, قىجىم قونجىق, ويىنشىق
🪅	ءتاتتى, بەسىنشى مامىر, تويلاۋ, كەش, مەرەكە, مەكسيكا, پينياتا
🪩	اينالى شار, بيلەۋ, جىلتىراۋ, ديسكوتەكا, ساۋىق كەشى, شار, كەش
🪆	رەسەي, قۋىرشاق, ماترەشكا, ورىس قۋىرشاعى
♠️	قارعا, كارتا, ويىن
♥️	تۇيە, جۇرەك, جۇرەكتەر, كارتا, ويىن
♦️	الماز, المازدار, قيىق, كارتا, ويىن
♣️	شىبىن, شىبىندار, كارتا, ويىن
♟️	ءبىر رەتتىك, الداۋ, سارباز, شاحمات, پەشكا
🃏	جوكەر, كارتا, ويناۋ, ويىن
🀄️	قىزىل, ماجوڭ, ماجوڭ قىزىل ايداحار, ويىن
🎴	جاپون, كارتا, ويناۋ, ويىن, گۇل, گۇلدى ويىن كارتالارى
🎭️	تەاتر, تەاتر ونەرى, ماسكا, ورىنداۋ, ونەر
🖼️	جاقتاۋلى سۋرەت, سۋرەت, سۋرەت سالۋ, كادر, مۇراجاي, مۋزەي, ونەر
🎨	بوياۋ, سۋرەت سالۋ, مۇراجاي, مۋزەي, ونەر, پاليترا
🧵	ءجىپ, تالشىق, توقۋ, تىگۋ, كاتۋشكا, ينە
🪡	ءجىپ, تىگىستەر, تىگىن, تىگىن ينە, تىگۋ, ينە, ينە-ءجىپ
🧶	ءيىرىمجىپ, توقۋ, دومالاق, ىلمەكپەن توقۋ
🪢	ءتۇيىن, ارقان, بايلاۋ, باۋ, شاتاسقان, شيىرۋ
👓️	كوز, كوزاينەك, كوزىلدىرىك, كوزگە تاعۋ, كيۋ
🕶️	كوز, كوزاينەك, كوزىلدىرىك, كوزگە تاعۋ, كۇننەن قورعايتىن كوزىلدىرىك, كۇڭگىرت
🥽	ءجۇزۋ, جازدىق كوزىلدىرىك, دانەكەرلەۋ, كوزاينەك, كوزدى قورعاۋ, كوزىلدىرىك
🥼	تاجىريبە, دارىگەر, زەرتحانالىق كيىم, عالىم, كيىم, مەديتسينا
🦺	توتەنشە جاعداي, جيلەت, سيگنالدىق, سيگنالدىق جيلەت, كيىم
👔	كويلەك, كيىم, گالستۋك
👕	جەيدە, جەيدەشە, كيىم
👖	جينسا, سىم, شالبار, كيىم
🧣	شارىف, كيىم
🧤	قول, قولعاپ, كيىم
🧥	كيىم, پالتو
🧦	شۇلىق, كيىم
👗	كويلەك, كيىم
👘	كيمونو, كيىم
🥻	ساري, كويلەك, كيىم
🩱	جابىق شومىلۋ كيىمى, جاعاجاي, دەمالىس, شومىلۋ كوستيۋمى, كيىم
🩲	ءىش كيىم, جابىق, شومىلۋ كوستيۋمى, شومىلۋ كيىمى, پلاۆكي
🩳	ءىش كيىم, جاسىل شالبار, دامبال, شولاق شالبار, شومىلۋ كوستيۋمى, كيىم
👙	ءجۇزۋ, بيكيني, جاعاجاي, كيىم
👚	ايەل, ايەلدەر كيىمى, كيىم
🪭	بيلەۋ, جەلپۋىش, سالقىنداتۋ, ۇيالشاق
👛	ءاميان, ايەلدەر ءاميانى, تيىن, كيىم
👜	سومكە, قولدوربا, كيىم
👝	سومكە, كيىم
🛍️	دۇكەن, ساۋدا قالتالارى, سومكە, قوناق ءۇي
🎒	ارقاعا اساتىن سومكە, سومكە, مەكتەپ, پاپكا
🩴	اياق كيىم, جاعاجاي, جاعاجاي ساندالى, جوري, ساندال, ۆيەتنامدىق, ۆيەتنامدىق ساندال
👞	اياق كيىم, تۋفلي, كيىم, ەر
👟	اتلەتيكالىق, اياق كيىم, تۋفلي, تەننيس, جۇگىرۋ, سپورت, كروسوۆكى, كيىم
🥾	ءجۇرۋ, اياق كيىم, اياقكيىم, باتەڭكە, تۋريستىك اياقكيىم, جاياۋ تۋريزم, لاگەرلىك
🥿	اياق كيىم, بالەتكا, تۋفلي, جايپاق تۋفلي, جەڭىل اياقكيىم, شاركە
👠	اياق كيىم, ايەل, بيىك وكشەلى تۋفلي, تۋفلي, كيىم, وكشە
👡	اياق كيىم, ايەل, ايەلدەر ساندالى, ساندال, كيىم
🩰	ءبيشى, اياق كيىم, بالەت, بالەتشىنىڭ اياق كيىمى, بي
👢	اياق كيىم, ايەل, ايەلدەر ەتىگى, كيىم, ەتىك
🪮	تاراق, تاراۋ
👑	ءتاج, حانشايىم, كورول, كيۋ
👒	ايەل, ايەلدەر قالپاعى, باس كيىم, قالپاق, كيۋ
🎩	باس كيىم, جوعارى, قالپاق, قوقىرايما, كيىم
🎓️	ءبىتىرۋ, ءبىتىرۋ قالپاعى, باس كيىم, تويلاۋ, تۇلەك, قالپاق, كيىم, كەپكا
🧢	باس كيىم, كۇنقاعار كەپكا
🪖	اسكەر, اسكەري, اسكەري كاسكا, جاۋىنگەر, سارباز, كاسكا
⛑️	اق كرەست بەينەلەنگەن دۋلىعا, بەت, جاردەم, دۋلىعا, قالپاق, كرەست, كومەك
📿	ءدىن, تاسپيق, تاعاتىن بۇيىم, سەنۋشى, كيىم
💄	دالاپ, كوسمەتيكا, ماكياج
💍	الماز, جۇزىك, رومانتيكا, ساقينا
💎	اسىل, اسىل تاس, الماز, باعالى تاس, رومانتيكا
🔇	ءۇنسىز, تىنىش, دىبىسسىز, دىبىسى وشىرىلگەن ديناميك, دىبىسىز, ديناميك, ديناميكتى ءوشىرۋ
🔈️	دىبىس دەڭگەيى, ديناميك
🔉	تولقىن, تومەن, دىبىس دەڭگەيى, ديناميك, ديناميكتى قوسۋ, ديناميكتىڭ دىبىس دەڭگەيى ورتاشا
🔊	دىبىس, ديناميكتىڭ دىبىسىن شىعارۋ, ديناميكتىڭ دىبىسىن كوبەيتۋ, قاتتى
📢	جوعارى دىبىس, داۋىس زورايتقىش, دىبىس, ورتاق مەكەنجاي
📣	شاپالاقتاۋ, مەگافون
📯	ءمۇيىز, كەرنەي, مۋزىكا, پوشتا, پوشتالىق
🔔	دىبىس, قوڭىراۋ
🔕	ءۇنسىز, تىنىش, تىيىم سالىنعان, تىيىم سالىنعان قوڭىراۋ, دىبىس ءوشىرۋ, دىبىسسىز, قوڭىراۋ, قوڭىراۋ دىبىسى وشىرىلگەن
🎼	مۋزىكا, پارتيتۋرا
🎵	دىبىس, مۋزىكا, نوتا
🎶	مۋزىكا, نوتا, نوتالار
🎙️	ستۋديو, ستۋديو ميكروفونى, ميكروفون, مۋزىكا
🎚️	دەڭگەي, دەڭگەي سىرعىتپاسى, سىرعىتپا, مۋزىكا
🎛️	باسقارۋ, باسقارۋ تۇيمەلەرى, تۇيمەلەر, مۋزىكا
🎤	اندەتۋ, دىبىس, كاراوكە, ميك, ميكروفون, ولەڭ ايتۋ
🎧️	تۇيمە ءتارىزدى قۇلاقاسپاپ, دىبىس, قۇلاقاسپاپ, قۇلاققاپ
📻️	بەينە, راديو
🎷	اسپاپ, ساكسوفون, قۇرال, مۋزىكا
🪗	اككوردەون, بايان, سىرناي, كونتسەرتينو, مۋزىكا, مۋزىكالىق ينسترۋمەنت
🎸	قۇرال, مۋزىكا, ىشەكتى, گيتارا
🎹	قۇرال, مۋزىكا, مۋزىكالىق پەرنەتاقتا, پيانينا, پەرنەتاقتا
🎺	ترۋبا, قۇرال, مۋزىكا
🎻	سكريپكا, قۇرال, مۋزىكا
🪕	بانجو, مۋزىكا, ىشەكتى
🥁	بارابان, مۋزىكا
🪘	اسپاپ, بارابان, بارابان اسپابى, بيت, كونگا, مۋزىكالىق اسپاپ, ىرعاق
🪇	اسپاپ, بي, ساۋىق كەشى, سىلدىرماق, سىلكۋ, شايقاۋ, كەش, ماراكاس, مۋزىكا
🪈	ءومىر, اسپاپ, تۇتىك, سىبىزعى, فلەيتا, مۋزىكا, وركەستر, پيككولو, ۇرمەلى اسپاپ
🪉	ارفا, اسپاپ, ماحاببات, مۋزىكا, وركەستر
📱	ءموبيلدى, تەلەفون, ۇيالى, ۇيالى تەلەفون
📲	ءموبيلدى, تەلەفون, قابىلداۋ, كورسەتكى, ۇيالى, ۇيالى تەلەفونعا قابىلداۋ, ەكران
☎️	تەلەفون
📞	تۇتقا, تەلەفون, تەلەفون رەسيۆەرى, رەسيۆەر
📟️	پەيجەر
📠	فاكس, فاكس ماشينا
🔋	باتارەيا
🪫	باتارەيا, باتارەيا قۋاتى تومەن, تومەن قۋات
🔌	تىعىن, ەلەكتر جەلىسى, ەلەكترلىك
💻️	جەكە, كومپيۋتەر, نوۋتبۋك
🖥️	جۇمىس ۇستەلى, دەربەس كومپيۋتەر, كومپيۋتەر, مونيتور
🖨️	كومپيۋتەر, پرينتەر
⌨️	كومپيۋتەر, پەرنەتاقتا
🖱️	3, ءتىنتۋىر, ءۇش, تۇيمە, كومپيۋتەر
🖲️	ترەكبول, كومپيۋتەر
💽	ديسك, شاعىن ديسك, كومپيۋتەر, وپتيكالىق
💾	المالى ديسك, ديسك, ديسكەتا, كومپيۋتەر
💿️	cd, dvd, ديسك, شاعىن ديسك, كومپيۋتەر, وپتيكالىق, وپتيكالىق ديسك
📀	blu-ray, cd, dvd, ديسك, كومپيۋتەر, وپتيكالىق
🧮	اباكۋس, ماتەماتيكا, ەسەپتەۋ
🎥	بەينەفيلم تۇسىرەتىن كامەرا, فيلم, كامەرا, كينو, ۆيدەو
🎞️	بەينە, فيلم, فيلم كادرلارى, كادر, كينو
📽️	بەينە, بەينەفيلم, فيلم, كينو, كينوپروەكتور, پروەكتور, ۆيدەو
🎬️	شارتىلداق, شارتىلداق نومىرلەۋىش, فيلم, كينو
📺️	بەينە, تەلەديدار, ۆيدەو
📷️	بەينە, سەلفي, فوتو, كامەرا, ۆيدەو
📸	بەينە, جارقىل, جارقىلى بار كامەرا, كامەرا, ۆيدەو
📹️	بەينە, بەينەكامەرا, كامەرا, ۆيدەو
📼	vhs, بەينە, بەينە كاسسەتا, تاسپا, كاسسەتا
🔍	سول جاقتى كورسەتەتىن ۇلكەيتكىش اينەك, شىنى, عىلىم, قۇرال, ىزدەۋ, ۇلكەيتۋ
🔎	شىنى, قۇرال, وڭ جاقتى كورسەتەتىن ۇلكەيتكىش اينەك, ىزدەۋ, ۇلكەيتۋ
🕯️	شام, مايشام
💡	شام, كوميك, لامپا, وي, پىكىر, ەلەكترلىك
🔦	الاۋ, جارقىل جارىعى, جارىق, شام, قۇرال, ەلەكترلىك
🏮	تاقتا, جاپون, شام, قاعاز شام, قاعازدان جاسالعان قىزىل شام, قىزىل
🪔	ديا, شام, ماي
📔	بەزەلگەن, جابىق, داپتەر, دەكوراتيۆتىك مۇقاباسى بار داپتەر, كىتاپ, مۇقابا
📕	جابىق, جابىق كىتاپ, قىزىل كىتاپ, كىتاپ
📖	اشىق, اشىق كىتاپ, كىتاپ
📗	جابىق, جاسىل, جاسىل كىتاپ, كىتاپ
📘	جابىق, كوك, كوك كىتاپ, كىتاپ
📙	جابىق, سارعىش, سارعىش كىتاپ, كىتاپ
📚️	جابىق, كىتاپ, كىتاپتار
📓	داپتەر
📒	باستى كىتاپ, داپتەر
📃	ءبىر شەتى ورالعان بەت, بەت, قاعاز, قۇجات, وراۋ
📜	بۇراما قاعاز, قاعاز
📄	بەت, جوعارى قاراپ تۇرعان بەت, قاعاز, قۇجات
📰	جاڭالىقتار, قاعاز, گازەت
🗞	بۇكتەلگەن گازەت, جاڭالىقتار, قاعاز, ورالعان, گازەت
📑	بەتبەلگى, بەتبەلگىلەر قويىندىسى, بەلگى, بەلگىلەگىش, قاعاز, قويىندى
🔖	بەتبەلگى, بەلگى
🏷️	بەلگى, زاتبەلگى
💰️	ءاميان, اقشا, اقشا سالىنعان قالتا, دوللار, سومكە
🪙	اقشا, التىن, باي, تيىن, دوللار, قازىنا, كۇمىس, مەتالل, ەۆرو
💴	اقشا, بانكنوتا, شوت, قاعاز اقشا, يەنا, يەنا بانكنوتاسى, ۆاليۋتا
💵	اقشا, بانكنوتا, دوللار, دوللار بانكنوتاسى, شوت, قاعاز اقشا, ۆاليۋتا
💶	100, اقشا, بانكنوتا, شوت, قاعاز اقشا, ۆاليۋتا, ەۋرو, ەۋرو بانكنوتاسى
💷	اقشا, بانكنوتا, شوت, فۋنت, فۋنت بانكنوتاسى, قاعاز اقشا, ۆاليۋتا
💸	اقشا, بانكنوتا, شوت, قاناتتار, قاناتى بار اقشا, ۇشۋ
💳️	اقشا, بانك, كارتا, نەسيە, نەسيە كارتاسى
🧾	بۋحگالتەرلىك, بۋحگالتەرلىك ەسەپ, تۇبىرتەك, دالەل, راستاۋ
💹	ءوسىم, اقشا, جوعارىعا, دياگرامما, يەنا, يەنا باعامى كوتەرىلگەنىن كورسەتەتىن دياگرامما, گرافيك
✉️	حات, حات قاپ, قاپ, كونۆەرت, ەل.پوشتا, ەلەكتروندىق پوشتا
📧	حات, پوشتا, ەلەكتروندىق پوشتا
📨	حات, قاپ, كونۆەرت, كىرىس, كەلگەن حات قاپ, ەلەكتروندىق پوشتا
📩	حات, حات قاپ, شىعىس, كورسەتكى, كورسەتكىسى بار حات قاپ, كورسەتكىش, كورسەتكىشى بار حات, كونۆەرت, ەلەكتروندىق پوشتا
📤️	جاشىك, جىبەرىلدى, جىبەرىلگەن حاتتار قالتاسى, حات, شىعىس جاشىگى, پوشتا
📥️	جاشىك, حات, قابىلداۋ, قالتا, كىرىس جاشىگى, پوشتا
📦️	جاشىك, جىبەرۋ, قالتا, قوراپ
📫️	جابىق, جاشىك, جالاۋشاسى كوتەرىلگەن جابىق پوشتا جاشىگى, پوشتا, پوشتا جاشىگى
📪️	تومەندەتىلگەن, جابىق, جاشىك, جالاۋشاسى تۇسىرىلگەن جابىق پوشتا جاشىگى, پوشتا, پوشتا جاشىگى
📬️	اشىق, جاشىك, جالاۋشاسى كوتەرىلگەن اشىق پوشتا جاشىگى, حات, پوشتا, پوشتا جاشىگى
📭️	اشىق, تومەندەتىلگەن, جاشىك, جالاۋشاسى تۇسىرىلگەن اشىق پوشتا جاشىگى, پوشتا, پوشتا جاشىگى
📮	جاشىك, حات, پوشتا, پوشتا جاشىگى
🗳️	بيۋللەتەن, جاشىك, سايلاۋ, سايلاۋ بيۋللەتەنىن تاستايتىن جاشىك
✏️	جازۋ, قارىنداش
✒️	قارا قاۋىرسىن, قالام, قاۋىرسىن
🖋️	اۆتو, اۆتوقالام, قالام
🖊️	شارلى قالام, قالام
🖌️	بوياۋ شەتكاسى, سۋرەت سالۋ
🖍️	پاستەل
📝	جادناما, جازۋ, حات, قارىنداش
💼	سومكە, قاپشىق, پورتفەل
📁	فايل, فايل قالتاسى, قالتا
📂	اشىق, فايل, فايل قالتاسىن اشۋ, قالتا
🗂️	بولگىشتەر, كارتا, كارتا يندەكسىن بولگىشتەر, يندەكس
📅	17, شىلدە, كۇنتىزبە, مەرزىم
📆	17, جىرتپالى كۇنتىزبە, شىلدە, كۇنتىزبە
🗒️	تاقتا, سپيرال, سپيرالدى داپتەر, ەسكەرتپە
🗓️	تاقتا, سپيرال, سپيرالدى كۇنتىزبە, كۇنتىزبە
📇	كارتا, كارتا يندەكسى, كارتوتەكا, يندەكس
📈	ءوسىم, ءوسىم تۋرالى دياگرامما, ترەند, جوعارىعا, دياگرامما, گرافيك
📉	ترەند, تومەن, دياگرامما, كەمۋ تۋرالى دياگرامما, گرافيك
📊	دياگرامما, گرافيك, گيستوگرامما
📋️	تاقتا, جازبا, جازۋ
📌	كەڭسەلىك باتىرما, ىستىك
📍	باتىرما, باسى دوڭگەلەك باتىرما, ورىن, ىستىك
📎	قاعاز تۇيرەۋىش
🖇️	بايلانىسقان قاعاز قىسقىشتارى, بايلانىسۋ, تۇيرەگىش, سىلتەمە, قاعاز قىستىرعىش
📏	ءتۇزۋ, ءتۇزۋ سىزعىش, سىزعىش
📐	ءۇشبۇرىش, ءۇشبۇرىشتى سىزعىش, جيناق, سىزعىش
✂️	قايشى, قيۋ, قۇرال
🗃️	جاشىك, فايل, كارتا, كارتالىق فايلدارعا ارنالعان جاشىك
🗄️	فايل, كابينەت, كارتوتەكالىق سورە
🗑️	سەبەت, قوقىس, قوقىس سەبەتى
🔒️	جابىق, قۇلىپ
🔓️	اشىق, اشىق قۇلىپ, قۇلىپ, قۇلىپتاۋ, قۇلپىن اشۋ
🔏	سيا, قالام, قالام مەن قۇلىپ, قالاممەن قۇلىپتالعان, قاۋىرسىن, قۇلىپ, قۇپيالىلىق
🔐	جابىق, قاۋىپسىز, قۇلىپ, كىلت, كىلتى بار جابىق قۇلىپ
🔑	قۇلىپ, قۇپيا ءسوز, كىلت
🗝️	قۇلىپ, كىلت, نەگىزگى كىلت, ەسكى, ەسكى كىلت
🔨	بالعا, جوندەۋ, قۇرال
🪓	اعاش, بالتا, جارۋ, جۇمىس, شابۋ, قۇرال
⛏️	ءوندىرۋ, قايلا, قۇرال
⚒️	بالعا, بالعا مەن قايلا, قايلا, قۇرال
🛠️	بالعا, بالعا مەن سومىن كىلت, سومىن كىلت, قۇرال
🗡️	قارۋ, قانجار, قۇرال, پىشاق
⚔️	ايقاس قىلىشتار, ايقاسقان, قارۋ, قىلىشتار
💣️	بومبا, جارىلىس, قاۋىپ, قاۋىپتى, كوميكس
🪃	اينالىپ كەلۋ, اۋستراليا, بۋمەرانگ, قۇرال, كەرى رەاكتسيا
🏹	جەبە, جەبە مەن ساداق, زودياك, ساداقشى, كورسەتكى, مەرگەن
🛡️	قارۋ, قالقان
🪚	ارا, ارالانعان ماتەريال, اعاش ۇستاسى, قول اراسى, قۇرال, كەسۋ
🔧	جوندەۋ, سومىن كىلت, قۇرال
🪛	بۇراعىش, بۇراۋ, قۇرال
🔩	بۇراندا, سومىن, سومىن مەن بۇراندا, قۇرال
⚙️	تەگەرشىك, قۇرال
🗜️	قىسۋ, قۇرال
⚖️	ادىلەت, اۋىرلىق, تارازى, تەپە-تەڭدىك, زودياك, سوت, يىنتىرەكتى تارازى
🦯	تاياق, سوقىر, مۇمكىندىگى شەكتەۋلى, مۇگەدەك
🔗	تۇيرەگىش, سىلتەمە, شىنجىر
⛓‍💥	ءۇزۋ، ءۇزىلۋ، شىنجىر، كىسەن، ەركىندىك، بوستاندىق, ۇزىلگەن شىنجىر
⛓️	بىزبەك, تىزبەك
🪝	ءىلىپ الۋ, قارماق, كوممەرتسيالىق ارگۋمەنت, ىلمەك, ىلگەك, يمەك, ۇستاپ الۋ
🧰	جاشىك, قۇرال, قۇرالدار جاشىگى, مەحانيكالىق
🧲	تارتۋ, تاعا, ماگنيت, ماگنيتتى
🪜	ءمىنۋ, باسپالداق, ساتى, قادام
🪏	قازۋ, كۇرەك, ور
⚗️	حيميا, ديستيللياتور, قۇرال
🧪	تاجىريبە, حيميا, حيميك, زەرتحانا, شىنى تۇتىك, عىلىم
🧫	باكتەريا, بيولوگ, بيولوگيا, زەرتحانا, مادەنيەت, پەتري ىدىسى
🧬	ءومىر, بيولوگ, بيولوگيا, د ن ق, گەن, گەنەتيكا, ەۆوليۋتسيا
🔬	زەرتحانا, عىلىم, قۇرال, ميكروسكوپ
🔭	تەلەسكوپ, عىلىم, قۇرال
📡	انتەننا, تارەلكە, سەرىكتىك, سەرىكتىك انتەننا, عىلىم
💉	اۋرۋ, سالۋ, شپريس, قان, مەديسينا, ينە, ەم
🩸	تامشى, دونورلىق قان تاپسىرۋ, قان تامشىسى, قىزىل تامشى, مەديتسينا, ەتەككىر
💊	ءدارى, اۋرۋ, تابلەتكا, دارىگەر, مەديتسينا
🩹	جاراقات, مەديتسينا, ەم, ەمدەۋ
🩼	بالداق, جاراقات, كومەك, مۇگەدەك
🩺	جۇرەك, دارىگەر, ستەتوسكوپ, مەديسينا, ەم, ەمدەۋ
🩻	رەنگەن, رەنگەن ساۋلەسى, سۇيەك, قاڭقا
🚪	ەسىك
🛗	كوتەرۋ, ليفت, مۇمكىندىگى شەكتەۋلى
🪞	اينا, بويانۋ, شاعىلدىرعىش, شاعىلىس
🪟	ءمولدىر, تازا اۋا, تەرەزە, جاقتاۋ, ساڭىلاۋ, كورىنىس
🛏️	جيھاز, قوناق ءۇي, كەرەۋەت, ۇيقى
🛋️	جيحاز, ديۆان, ديۆان مەن شام, شام, قوناق ءۇي
🪑	ارقالىعى بار ورىندىق, جيھاز, وتىرۋ, ورىن, ورىندىق
🚽	اجەتحانا, دارەتحانا, ۋنيتاز
🪠	دارەتحانا, سانتەحنيك, سانتەحنيك-سلەسار, سورۋ, ۆانتۋز
🚿	دۋش, سۋ, سەبەزگى
🛁	استاۋ, ۆاننا
🪤	توسقىن, تىشقان قاقپانى, تۇزاق, تۇزاق جەم, قاقپان, ىرىمشىك
🪒	قىرىنۋ, وتكىر, ۇستارا
🧴	سۋسابىن, شامپۋن, كۇننەن قورعاۋ, لوسون, لوسون قۇتىسى, ىلعالداعىش
🧷	تۇيرەۋىش, ويۋ ماتا, پانك-روك
🧹	تازالاۋ, جالماۋىز كەمپىر, سىپىرعى, سىپىرۋ
🧺	سەبەت, شارۋاشىلىق, كىر جۋاتىن ورىن, كىر جۋۋ, پيكنيك
🧻	دارەتحانا قاعازى, قاعاز, قاعاز وراماسى, قاعاز ورامالدار
🪣	بوشكە, شەلەك, قاۋعا, كىرلەن
🧼	تازالاۋ, جۋىنۋ, سابىن, سابىن سالعىش, كوبىك, ۆاننا, ۆاننادا جۋۋ
🫧	ءىنجۋ, سابىن, كوپىرشىكتەر, مەرۋەرت
🪥	ءتىس, ءتىس شەتكاسى, تازالاۋ, ستوماتولوگيالىق, شەتكا, گيگيەنا, ۆاننا
🧽	ءسىڭىرۋ, تازالاۋ, تەسىكتى, ىسقىش, گۋبكا
🧯	ءسوندىرۋ, ءورت, ءورت سوندىرگىش, قاۋىپسىزدىك
🛒	اربا, دۇكەن, ساۋدا, ساۋدا ارباسى
🚬	تەمەكى, شىلىم شەگۋ
⚰️	ءولىم, تابىت
🪦	بەيىت, زيرات, ساعانا, قابىر, قايتىس بولۋ, قۇلپىتاس
⚱️	ءولىم, جانازا, ساۋىت, ولىكتىڭ كۇلىن سالاتىن ساۋىت
🧿	بويتۇمار, تاسپيق, تۇمار, عاجايىپ, كوز, وتكىر كوز
🪬	ءماريام, الاقان, تۇمار, حامسا, فاتيما, قورعانىس, قورعاۋ, قول, كوزى بار الاقان
🗿	ءبارىبىر, ءسوزسىز, ءمۇسىن, بەت, سەزىمسىز, مواي
🪧	جازۋ, دەمونستراتسيا, نارازىلىق, پلاكات, پيكەت
🪪	جەكە كۋالىك, سايكەستەندىرۋ كارتاسى, قاۋىپسىزدىك, قۇجات, ليتسەنزيا, يدەنتيفيكاتسيا
🏧	اقشا, اۆتوماتتى, بانك, بانكومات, بانكومات بەلگىسى, ەسەپشى
🚮	قوقىس, قوقىس جاشىگى, قوقىستى سەبەتكە تاستاۋ بەلگىسى
🚰	ءىشۋ, سۋ, ىشىمدىك, ىشەتىن, ىشەتىن سۋ
♿️	ارباشا, كىرۋ, مۇگەدەك, مۇگەدەكتەر ارباشاسى
🚹️	wc, اجەتحانا, ايەل, دارەتحانا, ەر, ەرلەر بولمەسى, ەرلەر دارەتحاناسى
🚺️	wc, اجەتحانا, ايەل, ايەلدەر بولمەسى, ايەلدەر دارەتحاناسى, دارەتحانا
🚻	wc, اجەتحانا, ايەل, دارەتحانا
🚼️	ءسابي, سابيلەر, كيىم اۋىستىرۋ, نارەستە
🚾	اجەتحانا, دارەتحانا, سۋ, شكاف, ۆاتەركلوزەت
🛂	باقىلاۋ, تولقۇجات, قۇجاتتاردى تەكسەرۋ, پاسپورت
