‾	forlíne
🧑🏿‍🤝‍🧑🏿	daoine a bhfuil greim láimhe acu ar a chéile, daone a bhfuil greim láimhe acu ar a chéile, daone a bhfuil greim láimhe acu ar a chéile: ton cnis dorcha, greim, greim láimhe, lanúin, lámh, lánúin, ton cnis dorcha
👭	aerach, beirt bhan le chéile, cairde, deirfiúracha, greim láimhe, iníonacha, leannán, leispiaigh, lámh, mná
👭🏻	aerach, beirt bhan le chéile, beirt bhan le chéile: ton cnis geal, cairde, deirfiúracha, greim láimhe, iníonacha, leannán, leispiaigh, lámh, mná, ton cnis geal
👩🏻‍🤝‍👩🏼	aerach, beirt bhan le chéile, beirt bhan le chéile: ton cnis geal, ton cnis mheánach-gheal, cairde, deirfiúracha, greim láimhe, iníonacha, leannán, leispiaigh, lámh, mná, ton cnis geal, ton cnis mheánach-gheal
👩🏻‍🤝‍👩🏽	aerach, beirt bhan le chéile, beirt bhan le chéile: ton cnis geal, ton cnis meánach, cairde, deirfiúracha, greim láimhe, iníonacha, leannán, leispiaigh, lámh, mná, ton cnis geal, ton cnis meánach
👩🏻‍🤝‍👩🏾	aerach, beirt bhan le chéile, beirt bhan le chéile: ton cnis geal, ton cnis meándorcha, cairde, deirfiúracha, greim láimhe, iníonacha, leannán, leispiaigh, lámh, mná, ton cnis geal, ton cnis meándorcha
👩🏻‍🤝‍👩🏿	aerach, beirt bhan le chéile, beirt bhan le chéile: ton cnis geal, ton cnis dorcha, cairde, deirfiúracha, greim láimhe, iníonacha, leannán, leispiaigh, lámh, mná, ton cnis dorcha, ton cnis geal
👩🏼‍🤝‍👩🏻	aerach, beirt bhan le chéile, beirt bhan le chéile: ton cnis mheánach-gheal, ton cnis geal, cairde, deirfiúracha, greim láimhe, iníonacha, leannán, leispiaigh, lámh, mná, ton cnis geal, ton cnis mheánach-gheal
👭🏼	aerach, beirt bhan le chéile, beirt bhan le chéile: ton cnis mheánach-gheal, cairde, deirfiúracha, greim láimhe, iníonacha, leannán, leispiaigh, lámh, mná, ton cnis mheánach-gheal
👩🏼‍🤝‍👩🏽	aerach, beirt bhan le chéile, beirt bhan le chéile: ton cnis mheánach-gheal, ton cnis meánach, cairde, deirfiúracha, greim láimhe, iníonacha, leannán, leispiaigh, lámh, mná, ton cnis meánach, ton cnis mheánach-gheal
👩🏼‍🤝‍👩🏾	aerach, beirt bhan le chéile, beirt bhan le chéile: ton cnis mheánach-gheal, ton cnis meándorcha, cairde, deirfiúracha, greim láimhe, iníonacha, leannán, leispiaigh, lámh, mná, ton cnis meándorcha, ton cnis mheánach-gheal
👩🏼‍🤝‍👩🏿	aerach, beirt bhan le chéile, beirt bhan le chéile: ton cnis mheánach-gheal, ton cnis dorcha, cairde, deirfiúracha, greim láimhe, iníonacha, leannán, leispiaigh, lámh, mná, ton cnis dorcha, ton cnis mheánach-gheal
👩🏽‍🤝‍👩🏻	aerach, beirt bhan le chéile, beirt bhan le chéile: ton cnis meánach, ton cnis geal, cairde, deirfiúracha, greim láimhe, iníonacha, leannán, leispiaigh, lámh, mná, ton cnis geal, ton cnis meánach
👩🏽‍🤝‍👩🏼	aerach, beirt bhan le chéile, beirt bhan le chéile: ton cnis meánach, ton cnis mheánach-gheal, cairde, deirfiúracha, greim láimhe, iníonacha, leannán, leispiaigh, lámh, mná, ton cnis meánach, ton cnis mheánach-gheal
👭🏽	aerach, beirt bhan le chéile, beirt bhan le chéile: ton cnis meánach, cairde, deirfiúracha, greim láimhe, iníonacha, leannán, leispiaigh, lámh, mná, ton cnis meánach
👩🏽‍🤝‍👩🏾	aerach, beirt bhan le chéile, beirt bhan le chéile: ton cnis meánach, ton cnis meándorcha, cairde, deirfiúracha, greim láimhe, iníonacha, leannán, leispiaigh, lámh, mná, ton cnis meánach, ton cnis meándorcha
👩🏽‍🤝‍👩🏿	aerach, beirt bhan le chéile, beirt bhan le chéile: ton cnis meánach, ton cnis dorcha, cairde, deirfiúracha, greim láimhe, iníonacha, leannán, leispiaigh, lámh, mná, ton cnis dorcha, ton cnis meánach
👩🏾‍🤝‍👩🏻	aerach, beirt bhan le chéile, beirt bhan le chéile: ton cnis meándorcha, ton cnis geal, cairde, deirfiúracha, greim láimhe, iníonacha, leannán, leispiaigh, lámh, mná, ton cnis geal, ton cnis meándorcha
👩🏾‍🤝‍👩🏼	aerach, beirt bhan le chéile, beirt bhan le chéile: ton cnis meándorcha, ton cnis mheánach-gheal, cairde, deirfiúracha, greim láimhe, iníonacha, leannán, leispiaigh, lámh, mná, ton cnis meándorcha, ton cnis mheánach-gheal
👩🏾‍🤝‍👩🏽	aerach, beirt bhan le chéile, beirt bhan le chéile: ton cnis meándorcha, ton cnis meánach, cairde, deirfiúracha, greim láimhe, iníonacha, leannán, leispiaigh, lámh, mná, ton cnis meánach, ton cnis meándorcha
👭🏾	aerach, beirt bhan le chéile, beirt bhan le chéile: ton cnis meándorcha, cairde, deirfiúracha, greim láimhe, iníonacha, leannán, leispiaigh, lámh, mná, ton cnis meándorcha
👩🏾‍🤝‍👩🏿	aerach, beirt bhan le chéile, beirt bhan le chéile: ton cnis meándorcha, ton cnis dorcha, cairde, deirfiúracha, greim láimhe, iníonacha, leannán, leispiaigh, lámh, mná, ton cnis dorcha, ton cnis meándorcha
👩🏿‍🤝‍👩🏻	aerach, beirt bhan le chéile, beirt bhan le chéile: ton cnis dorcha, ton cnis geal, cairde, deirfiúracha, greim láimhe, iníonacha, leannán, leispiaigh, lámh, mná, ton cnis dorcha, ton cnis geal
👩🏿‍🤝‍👩🏼	aerach, beirt bhan le chéile, beirt bhan le chéile: ton cnis dorcha, ton cnis mheánach-gheal, cairde, deirfiúracha, greim láimhe, iníonacha, leannán, leispiaigh, lámh, mná, ton cnis dorcha, ton cnis mheánach-gheal
👩🏿‍🤝‍👩🏽	aerach, beirt bhan le chéile, beirt bhan le chéile: ton cnis dorcha, ton cnis meánach, cairde, deirfiúracha, greim láimhe, iníonacha, leannán, leispiaigh, lámh, mná, ton cnis dorcha, ton cnis meánach
👩🏿‍🤝‍👩🏾	aerach, beirt bhan le chéile, beirt bhan le chéile: ton cnis dorcha, ton cnis meándorcha, cairde, deirfiúracha, greim láimhe, iníonacha, leannán, leispiaigh, lámh, mná, ton cnis dorcha, ton cnis meándorcha
👭🏿	aerach, beirt bhan le chéile, beirt bhan le chéile: ton cnis dorcha, cairde, deirfiúracha, greim láimhe, iníonacha, leannán, leispiaigh, lámh, mná, ton cnis dorcha
👫	bean, fear, fear agus bean, fear agus bean le chéile, i ngrá, lámha le chéile
👫🏻	bean, fear, fear agus bean, fear agus bean le chéile, fear agus bean le chéile: ton cnis geal, i ngrá, lámha le chéile, ton cnis geal
👩🏻‍🤝‍👨🏼	bean, fear, fear agus bean, fear agus bean le chéile, fear agus bean le chéile: ton cnis geal, ton cnis mheánach-gheal, i ngrá, lámha le chéile, ton cnis geal, ton cnis mheánach-gheal
👩🏻‍🤝‍👨🏽	bean, fear, fear agus bean, fear agus bean le chéile, fear agus bean le chéile: ton cnis geal, ton cnis meánach, i ngrá, lámha le chéile, ton cnis geal, ton cnis meánach
👩🏻‍🤝‍👨🏾	bean, fear, fear agus bean, fear agus bean le chéile, fear agus bean le chéile: ton cnis geal, ton cnis meándorcha, i ngrá, lámha le chéile, ton cnis geal, ton cnis meándorcha
👩🏻‍🤝‍👨🏿	bean, fear, fear agus bean, fear agus bean le chéile, fear agus bean le chéile: ton cnis geal, ton cnis dorcha, i ngrá, lámha le chéile, ton cnis dorcha, ton cnis geal
👩🏼‍🤝‍👨🏻	bean, fear, fear agus bean, fear agus bean le chéile, fear agus bean le chéile: ton cnis mheánach-gheal, ton cnis geal, i ngrá, lámha le chéile, ton cnis geal, ton cnis mheánach-gheal
👫🏼	bean, fear, fear agus bean, fear agus bean le chéile, fear agus bean le chéile: ton cnis mheánach-gheal, i ngrá, lámha le chéile, ton cnis mheánach-gheal
👩🏼‍🤝‍👨🏽	bean, fear, fear agus bean, fear agus bean le chéile, fear agus bean le chéile: ton cnis mheánach-gheal, ton cnis meánach, i ngrá, lámha le chéile, ton cnis meánach, ton cnis mheánach-gheal
👩🏼‍🤝‍👨🏾	bean, fear, fear agus bean, fear agus bean le chéile, fear agus bean le chéile: ton cnis mheánach-gheal, ton cnis meándorcha, i ngrá, lámha le chéile, ton cnis meándorcha, ton cnis mheánach-gheal
👩🏼‍🤝‍👨🏿	bean, fear, fear agus bean, fear agus bean le chéile, fear agus bean le chéile: ton cnis mheánach-gheal, ton cnis dorcha, i ngrá, lámha le chéile, ton cnis dorcha, ton cnis mheánach-gheal
👩🏽‍🤝‍👨🏻	bean, fear, fear agus bean, fear agus bean le chéile, fear agus bean le chéile: ton cnis meánach, ton cnis geal, i ngrá, lámha le chéile, ton cnis geal, ton cnis meánach
👩🏽‍🤝‍👨🏼	bean, fear, fear agus bean, fear agus bean le chéile, fear agus bean le chéile: ton cnis meánach, ton cnis mheánach-gheal, i ngrá, lámha le chéile, ton cnis meánach, ton cnis mheánach-gheal
👫🏽	bean, fear, fear agus bean, fear agus bean le chéile, fear agus bean le chéile: ton cnis meánach, i ngrá, lámha le chéile, ton cnis meánach
👩🏽‍🤝‍👨🏾	bean, fear, fear agus bean, fear agus bean le chéile, fear agus bean le chéile: ton cnis meánach, ton cnis meándorcha, i ngrá, lámha le chéile, ton cnis meánach, ton cnis meándorcha
👩🏽‍🤝‍👨🏿	bean, fear, fear agus bean, fear agus bean le chéile, fear agus bean le chéile: ton cnis meánach, ton cnis dorcha, i ngrá, lámha le chéile, ton cnis dorcha, ton cnis meánach
👩🏾‍🤝‍👨🏻	bean, fear, fear agus bean, fear agus bean le chéile, fear agus bean le chéile: ton cnis meándorcha, ton cnis geal, i ngrá, lámha le chéile, ton cnis geal, ton cnis meándorcha
👩🏾‍🤝‍👨🏼	bean, fear, fear agus bean, fear agus bean le chéile, fear agus bean le chéile: ton cnis meándorcha, ton cnis mheánach-gheal, i ngrá, lámha le chéile, ton cnis meándorcha, ton cnis mheánach-gheal
👩🏾‍🤝‍👨🏽	bean, fear, fear agus bean, fear agus bean le chéile, fear agus bean le chéile: ton cnis meándorcha, ton cnis meánach, i ngrá, lámha le chéile, ton cnis meánach, ton cnis meándorcha
👫🏾	bean, fear, fear agus bean, fear agus bean le chéile, fear agus bean le chéile: ton cnis meándorcha, i ngrá, lámha le chéile, ton cnis meándorcha
👩🏾‍🤝‍👨🏿	bean, fear, fear agus bean, fear agus bean le chéile, fear agus bean le chéile: ton cnis meándorcha, ton cnis dorcha, i ngrá, lámha le chéile, ton cnis dorcha, ton cnis meándorcha
👩🏿‍🤝‍👨🏻	bean, fear, fear agus bean, fear agus bean le chéile, fear agus bean le chéile: ton cnis dorcha, ton cnis geal, i ngrá, lámha le chéile, ton cnis dorcha, ton cnis geal
👩🏿‍🤝‍👨🏼	bean, fear, fear agus bean, fear agus bean le chéile, fear agus bean le chéile: ton cnis dorcha, ton cnis mheánach-gheal, i ngrá, lámha le chéile, ton cnis dorcha, ton cnis mheánach-gheal
👩🏿‍🤝‍👨🏽	bean, fear, fear agus bean, fear agus bean le chéile, fear agus bean le chéile: ton cnis dorcha, ton cnis meánach, i ngrá, lámha le chéile, ton cnis dorcha, ton cnis meánach
👩🏿‍🤝‍👨🏾	bean, fear, fear agus bean, fear agus bean le chéile, fear agus bean le chéile: ton cnis dorcha, ton cnis meándorcha, i ngrá, lámha le chéile, ton cnis dorcha, ton cnis meándorcha
👫🏿	bean, fear, fear agus bean, fear agus bean le chéile, fear agus bean le chéile: ton cnis dorcha, i ngrá, lámha le chéile, ton cnis dorcha
👬	aerach, beirt fhear, beirt fhear a bhfuil g beirt fhear le chéile, beirt fhear le chéile, cairde, duine, fear, i ngrá, lámha le chéile
👬🏻	aerach, beirt fhear, beirt fhear a bhfuil g beirt fhear le chéile, beirt fhear le chéile, beirt fhear le chéile: ton cnis geal, cairde, duine, fear, i ngrá, lámha le chéile, ton cnis geal
👨🏻‍🤝‍👨🏼	aerach, beirt fhear, beirt fhear a bhfuil g beirt fhear le chéile, beirt fhear le chéile, beirt fhear le chéile: ton cnis geal, ton cnis mheánach-gheal, cairde, duine, fear, i ngrá, lámha le chéile, ton cnis geal, ton cnis mheánach-gheal
👨🏻‍🤝‍👨🏽	aerach, beirt fhear, beirt fhear a bhfuil g beirt fhear le chéile, beirt fhear le chéile, beirt fhear le chéile: ton cnis geal, ton cnis meánach, cairde, duine, fear, i ngrá, lámha le chéile, ton cnis geal, ton cnis meánach
👨🏻‍🤝‍👨🏾	aerach, beirt fhear, beirt fhear a bhfuil g beirt fhear le chéile, beirt fhear le chéile, beirt fhear le chéile: ton cnis geal, ton cnis meándorcha, cairde, duine, fear, i ngrá, lámha le chéile, ton cnis geal, ton cnis meándorcha
👨🏻‍🤝‍👨🏿	aerach, beirt fhear, beirt fhear a bhfuil g beirt fhear le chéile, beirt fhear le chéile, beirt fhear le chéile: ton cnis geal, ton cnis dorcha, cairde, duine, fear, i ngrá, lámha le chéile, ton cnis dorcha, ton cnis geal
👨🏼‍🤝‍👨🏻	aerach, beirt fhear, beirt fhear a bhfuil g beirt fhear le chéile, beirt fhear le chéile, beirt fhear le chéile: ton cnis mheánach-gheal, ton cnis geal, cairde, duine, fear, i ngrá, lámha le chéile, ton cnis geal, ton cnis mheánach-gheal
👬🏼	aerach, beirt fhear, beirt fhear a bhfuil g beirt fhear le chéile, beirt fhear le chéile, beirt fhear le chéile: ton cnis mheánach-gheal, cairde, duine, fear, i ngrá, lámha le chéile, ton cnis mheánach-gheal
👨🏼‍🤝‍👨🏽	aerach, beirt fhear, beirt fhear a bhfuil g beirt fhear le chéile, beirt fhear le chéile, beirt fhear le chéile: ton cnis mheánach-gheal, ton cnis meánach, cairde, duine, fear, i ngrá, lámha le chéile, ton cnis meánach, ton cnis mheánach-gheal
👨🏼‍🤝‍👨🏾	aerach, beirt fhear, beirt fhear a bhfuil g beirt fhear le chéile, beirt fhear le chéile, beirt fhear le chéile: ton cnis mheánach-gheal, ton cnis meándorcha, cairde, duine, fear, i ngrá, lámha le chéile, ton cnis meándorcha, ton cnis mheánach-gheal
👨🏼‍🤝‍👨🏿	aerach, beirt fhear, beirt fhear a bhfuil g beirt fhear le chéile, beirt fhear le chéile, beirt fhear le chéile: ton cnis mheánach-gheal, ton cnis dorcha, cairde, duine, fear, i ngrá, lámha le chéile, ton cnis dorcha, ton cnis mheánach-gheal
👨🏽‍🤝‍👨🏻	aerach, beirt fhear, beirt fhear a bhfuil g beirt fhear le chéile, beirt fhear le chéile, beirt fhear le chéile: ton cnis meánach, ton cnis geal, cairde, duine, fear, i ngrá, lámha le chéile, ton cnis geal, ton cnis meánach
👨🏽‍🤝‍👨🏼	aerach, beirt fhear, beirt fhear a bhfuil g beirt fhear le chéile, beirt fhear le chéile, beirt fhear le chéile: ton cnis meánach, ton cnis mheánach-gheal, cairde, duine, fear, i ngrá, lámha le chéile, ton cnis meánach, ton cnis mheánach-gheal
👬🏽	aerach, beirt fhear, beirt fhear a bhfuil g beirt fhear le chéile, beirt fhear le chéile, beirt fhear le chéile: ton cnis meánach, cairde, duine, fear, i ngrá, lámha le chéile, ton cnis meánach
👨🏽‍🤝‍👨🏾	aerach, beirt fhear, beirt fhear a bhfuil g beirt fhear le chéile, beirt fhear le chéile, beirt fhear le chéile: ton cnis meánach, ton cnis meándorcha, cairde, duine, fear, i ngrá, lámha le chéile, ton cnis meánach, ton cnis meándorcha
👨🏽‍🤝‍👨🏿	aerach, beirt fhear, beirt fhear a bhfuil g beirt fhear le chéile, beirt fhear le chéile, beirt fhear le chéile: ton cnis meánach, ton cnis dorcha, cairde, duine, fear, i ngrá, lámha le chéile, ton cnis dorcha, ton cnis meánach
👨🏾‍🤝‍👨🏻	aerach, beirt fhear, beirt fhear a bhfuil g beirt fhear le chéile, beirt fhear le chéile, beirt fhear le chéile: ton cnis meándorcha, ton cnis geal, cairde, duine, fear, i ngrá, lámha le chéile, ton cnis geal, ton cnis meándorcha
👨🏾‍🤝‍👨🏼	aerach, beirt fhear, beirt fhear a bhfuil g beirt fhear le chéile, beirt fhear le chéile, beirt fhear le chéile: ton cnis meándorcha, ton cnis mheánach-gheal, cairde, duine, fear, i ngrá, lámha le chéile, ton cnis meándorcha, ton cnis mheánach-gheal
👨🏾‍🤝‍👨🏽	aerach, beirt fhear, beirt fhear a bhfuil g beirt fhear le chéile, beirt fhear le chéile, beirt fhear le chéile: ton cnis meándorcha, ton cnis meánach, cairde, duine, fear, i ngrá, lámha le chéile, ton cnis meánach, ton cnis meándorcha
👬🏾	aerach, beirt fhear, beirt fhear a bhfuil g beirt fhear le chéile, beirt fhear le chéile, beirt fhear le chéile: ton cnis meándorcha, cairde, duine, fear, i ngrá, lámha le chéile, ton cnis meándorcha
👨🏾‍🤝‍👨🏿	aerach, beirt fhear, beirt fhear a bhfuil g beirt fhear le chéile, beirt fhear le chéile, beirt fhear le chéile: ton cnis meándorcha, ton cnis dorcha, cairde, duine, fear, i ngrá, lámha le chéile, ton cnis dorcha, ton cnis meándorcha
👨🏿‍🤝‍👨🏻	aerach, beirt fhear, beirt fhear a bhfuil g beirt fhear le chéile, beirt fhear le chéile, beirt fhear le chéile: ton cnis dorcha, ton cnis geal, cairde, duine, fear, i ngrá, lámha le chéile, ton cnis dorcha, ton cnis geal
👨🏿‍🤝‍👨🏼	aerach, beirt fhear, beirt fhear a bhfuil g beirt fhear le chéile, beirt fhear le chéile, beirt fhear le chéile: ton cnis dorcha, ton cnis mheánach-gheal, cairde, duine, fear, i ngrá, lámha le chéile, ton cnis dorcha, ton cnis mheánach-gheal
👨🏿‍🤝‍👨🏽	aerach, beirt fhear, beirt fhear a bhfuil g beirt fhear le chéile, beirt fhear le chéile, beirt fhear le chéile: ton cnis dorcha, ton cnis meánach, cairde, duine, fear, i ngrá, lámha le chéile, ton cnis dorcha, ton cnis meánach
👨🏿‍🤝‍👨🏾	aerach, beirt fhear, beirt fhear a bhfuil g beirt fhear le chéile, beirt fhear le chéile, beirt fhear le chéile: ton cnis dorcha, ton cnis meándorcha, cairde, duine, fear, i ngrá, lámha le chéile, ton cnis dorcha, ton cnis meándorcha
👬🏿	aerach, beirt fhear, beirt fhear a bhfuil g beirt fhear le chéile, beirt fhear le chéile, beirt fhear le chéile: ton cnis dorcha, cairde, duine, fear, i ngrá, lámha le chéile, ton cnis dorcha
💏	coinne, grá, póg, pógadh
💏🏻	coinne, grá, póg, póg: ton cnis geal, pógadh, ton cnis geal
💏🏼	coinne, grá, póg, póg: ton cnis mheánach-gheal, pógadh, ton cnis mheánach-gheal
💏🏽	coinne, grá, póg, póg: ton cnis meánach, pógadh, ton cnis meánach
💏🏾	coinne, grá, póg, póg: ton cnis meándorcha, pógadh, ton cnis meándorcha
💏🏿	coinne, grá, póg, póg: ton cnis dorcha, pógadh, ton cnis dorcha
👩‍❤‍💋‍👨	bean, coinne, fear, grá, póg, póg: bean, fear, pógadh
👨‍❤‍💋‍👨	coinne, fear, grá, póg, póg: fear, fear, pógadh
👩‍❤‍💋‍👩	bean, coinne, grá, póg, póg: bean, bean, pógadh
💑	comóradh, croí, grá, lanúin le croí, lánúin, lánúin le croí, póg
💑🏻	comóradh, croí, grá, lanúin le croí, lanúin le croí: ton cnis geal, lánúin, lánúin le croí, póg, ton cnis geal
💑🏼	comóradh, croí, grá, lanúin le croí, lanúin le croí: ton cnis mheánach-gheal, lánúin, lánúin le croí, póg, ton cnis mheánach-gheal
💑🏽	comóradh, croí, grá, lanúin le croí, lanúin le croí: ton cnis meánach, lánúin, lánúin le croí, póg, ton cnis meánach
💑🏾	comóradh, croí, grá, lanúin le croí, lanúin le croí: ton cnis meándorcha, lánúin, lánúin le croí, póg, ton cnis meándorcha
💑🏿	comóradh, croí, grá, lanúin le croí, lanúin le croí: ton cnis dorcha, lánúin, lánúin le croí, póg, ton cnis dorcha
👩‍❤‍👨	bean, comóradh, croí, fear, grá, lanúin le croí, lanúin le croí: bean, fear, lánúin, lánúin le croí, póg
👨‍❤‍👨	comóradh, croí, fear, grá, lanúin le croí, lanúin le croí: fear, fear, lánúin, lánúin le croí, póg
👩‍❤‍👩	bean, comóradh, croí, grá, lanúin le croí, lanúin le croí: bean, bean, lánúin, lánúin le croí, póg
👨‍👩‍👦	athair, bean, buachaill, fear, leanaí, máthair, páiste, teaghlach, teaghlach: fear, bean, buachaill
👨‍👩‍👧	athair, bean, cailín, fear, leanaí, máthair, páiste, teaghlach, teaghlach: fear, bean, cailín
👨‍👩‍👧‍👦	athair, bean, buachaill, cailín, fear, leanaí, máthair, páiste, teaghlach, teaghlach: fear, bean, cailín, buachaill
👨‍👩‍👦‍👦	athair, bean, buachaill, fear, leanaí, máthair, páiste, teaghlach, teaghlach: fear, bean, buachaill, buachaill
👨‍👩‍👧‍👧	athair, bean, cailín, fear, leanaí, máthair, páiste, teaghlach, teaghlach: fear, bean, cailín, cailín
👨‍👨‍👦	athair, buachaill, fear, leanaí, máthair, páiste, teaghlach, teaghlach: fear, fear, buachaill
👨‍👨‍👧	athair, cailín, fear, leanaí, máthair, páiste, teaghlach, teaghlach: fear, fear, cailín
👨‍👨‍👧‍👦	athair, buachaill, cailín, fear, leanaí, máthair, páiste, teaghlach, teaghlach: fear, fear, cailín, buachaill
👨‍👨‍👦‍👦	athair, buachaill, fear, leanaí, máthair, páiste, teaghlach, teaghlach: fear, fear, buachaill, buachaill
👨‍👨‍👧‍👧	athair, cailín, fear, leanaí, máthair, páiste, teaghlach, teaghlach: fear, fear, cailín, cailín
👩‍👩‍👦	athair, bean, buachaill, leanaí, máthair, páiste, teaghlach, teaghlach: bean, bean, buachaill
👩‍👩‍👧	athair, bean, cailín, leanaí, máthair, páiste, teaghlach, teaghlach: bean, bean, cailín
👩‍👩‍👧‍👦	athair, bean, buachaill, cailín, leanaí, máthair, páiste, teaghlach, teaghlach: bean, bean, cailín, buachaill
👩‍👩‍👦‍👦	athair, bean, buachaill, leanaí, máthair, páiste, teaghlach, teaghlach: bean, bean, buachaill, buachaill
👩‍👩‍👧‍👧	athair, bean, cailín, leanaí, máthair, páiste, teaghlach, teaghlach: bean, bean, cailín, cailín
👨‍👦	athair, buachaill, fear, leanaí, máthair, páiste, teaghlach, teaghlach: fear, buachaill
👨‍👦‍👦	athair, buachaill, fear, leanaí, máthair, páiste, teaghlach, teaghlach: fear, buachaill, buachaill
👨‍👧	athair, cailín, fear, leanaí, máthair, páiste, teaghlach, teaghlach: fear, cailín
👨‍👧‍👦	athair, buachaill, cailín, fear, leanaí, máthair, páiste, teaghlach, teaghlach: fear, cailín, buachaill
👨‍👧‍👧	athair, cailín, fear, leanaí, máthair, páiste, teaghlach, teaghlach: fear, cailín, cailín
👩‍👦	athair, bean, buachaill, leanaí, máthair, páiste, teaghlach, teaghlach: bean, buachaill
👩‍👦‍👦	athair, bean, buachaill, leanaí, máthair, páiste, teaghlach, teaghlach: bean, buachaill, buachaill
👩‍👧	athair, bean, cailín, leanaí, máthair, páiste, teaghlach, teaghlach: bean, cailín
👩‍👧‍👦	athair, bean, buachaill, cailín, leanaí, máthair, páiste, teaghlach, teaghlach: bean, cailín, buachaill
👩‍👧‍👧	athair, bean, cailín, leanaí, máthair, páiste, teaghlach, teaghlach: bean, cailín, cailín
🗣️	ag caint, ag labhairt, aghaidh, caint, ceann, ceann ag caint, cloigeann, gnúis, scáthchruth, scáthphictiúr, éadan
👤	cabhail, corp, diamhrach, duine, rúndiamhrach, scáth, scáthchruth cinn
👥	cabhlacha, cairde, cara, coirp, cách, daoine, gach duine, scáthchruth ceann
🫂	barróg, beannú, buíochas, daoine ag tabhairt barróige, slán
👪️	athair, leanaí, máthair, páiste, teaghlach
🧑‍🧑‍🧒	duine fásta, leanbh, teaghlach: duine fásta, teaghlach: duine fásta, duine fásta, leanbh
🧑‍🧑‍🧒‍🧒	duine fásta, leanbh, teaghlach: duine fásta, teaghlach: duine fásta, duine fásta, leanbh, leanbh
🧑‍🧒	leanbh, teaghlach: duine fásta, teaghlach: duine fásta, leanbh
🧑‍🧒‍🧒	leanbh, teaghlach: duine fásta, teaghlach: duine fásta, leanbh, leanbh
👣	cos, loirg choise, lorg, lorg coise, troigh
🫆	aitheantas, fóiréinsic, méarlorg, sábháilteacht
🦰	duine le gruaig rua, gruaig rua, rua
🦱	afró, catach, gruaig chatach, lúba
🦳	bán, gruaig, gruaig bhán, liath, sean
🦲	bearrtha, blagaid, ceimiteiripe, gan ghruaig, gruaig ar bith, maol
🐵	aghaidh, aghaidh moncaí, ainmhí, banana, moncaí
🐒	banana, moncaí
🦍	ainmhí, goraille
🦧	ainmhí, ápa, órang-útan
🐶	aghaidh, aghaidh madra, ainmhí, coileán, madra, peata
🐕️	ainmhithe, ainmhí, madra, peata
🦮	dall, inrochtaineacht, madra treorach, treoir
🐕‍🦺	cabhair, inrochtaineacht, madra, madra seirbhíse, mardra seirbhíse, seirbhís
🐩	ainmhí, madra, púdal
🐺	aghaidh, aghaidh mic tíre, ainmhí, faolchú, mac tíre
🦊	aghaidh, aghaidh sionnaigh, ainmhí, madra rua, sionnach, éadan
🦝	ainmhí, fiosrach, glic, racún, sleamhain, íogánta
🐱	aghaidh, aghaidh cait, ainmhí, cat, peata
🐈️	ainmhí, cat, peata
🐈‍⬛	ainmhí, caitín, cat dubh, meamhlach, peata
🦁	Leo, aghaidh, aghaidh leoin, ainmhí, leon, stoidiaca
🐯	aghaidh, aghaidh tíogair, ainmhí, tíogar
🐅	ainmhí, cat mór, leon breac, tíogar
🐆	ainmhithe, ainmhí, liopard
🐴	aghaidh, aghaidh capaill, ainmhí, capaill, capall, each, feirm, gearrán, marc
🫎	ainmhí, beanna, fia mór, mamach, mús
🫏	ainmhí, asal, ceanndána, mamach, miúil
🐎	capall, capall rásaíochta, eachaí, rásaíocht
🦄	aghaidh, aghaidh aonbheannaigh, aonbheannach
🦓	Stiall, stríoc, séabra
🦌	ainmhí, fia
🦬	ainmhí, athchogantach, buabhall, bíosún
🐮	aghaidh, aghaidh bó, ainmhí, bainne, bó
🐂	An Tarbh, ainmhithe, ainmhí, damh, stoidiaca, tarbh
🐃	ainmhithe, ainmhí, buabhall, buabhall uisce, uisce
🐄	ainmhithe, ainmhí, bainne, beithíoch, bleachtach, bleitheach bó, bó, búireach, droimeann, feirm, múú, riabhach
🐷	aghaidh, aghaidh muice, ainmhí, muc
🐖	ainmhithe, ainmhí, bagún, banbh, cráin, cráin mhuice, feirm, muc, ramhar
🐗	ainmhí, muc, torc
🐽	aghaidh, ainmhí, muc, srón, srón muice
🐏	An Reithe, ainmhithe, ainmhí, caora, fireann, reithe, stoidiaca
🐑	ainmhí, baa, baineann, caora, caorach, craiceann caorach, olann, uan
🐐	An Gabhar, ainmhithe, ainmhí, gabhar, stoidiaca
🐪	ainmhí, camaill, camall, dromadaire, dronn, dronnóg, fásach, gaineamhlach
🐫	Baictriach, ainmhí, camall, camall le dhá dhronn, camalóid, dhá dhronn, dromadaire, dronn, dronnóg, fásach, gaineamhlach
🦙	ainmhí, alpaca, guanaco, láma, olann, vicuña
🦒	baill, sioráf, spotaí
🐘	ainmhí, eilifint
🦣	ainmhí, lomrach, mamat, ollmhór, starrfhiacail, éag
🦏	srónbheannach
🦛	ainmhí, dobhareach, hippo
🐭	aghaidh, aghaidh luiche, ainmhí, luch, luchóg
🐁	ainmhithe, ainmhí, luch, luchóg
🐀	ainmhí, francach
🐹	aghaidh, aghaidh hamstair, ainmhí, hamstar, peata
🐰	aghaidh, aghaidh coinín, ainmhí, coinín, peata
🐇	ainmhithe, ainmhí, coinín, peata
🐿️	iora rua, iora talún
🦫	ainmhí, béabhar, creimire, damba
🦔	dealg, dealga, dealgach, gráinneog, spíonach
